Filename,TTS_condition,participant,trial,gender,mahal_dist,interval,f0_st,time
natural_user10_trial_09_participant,natural,user10,9,female,2.561699194093086,15,-2.0893196654831505,7
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,1,-1.1896706372572747,-7
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,2,-1.1896706372572747,-6
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,3,-1.1896706372572747,-5
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,4,-2.8349789714312403,-4
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,5,-2.9530672611584494,-3
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,6,-2.8743492585157644,-2
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,7,-2.926149118517145,-1
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,8,-2.6433203450791463,0
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,9,-2.558963207566834,1
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,10,-2.505170129940612,2
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,11,-2.48014438348584,3
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,12,-2.48014438348584,4
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,13,-2.48014438348584,5
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,14,-2.48014438348584,6
natural_user10_trial_10_participant,natural,user10,10,female,4.798610454818827,15,-2.48014438348584,7
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,1,-2.0578339561678294,-7
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,2,-2.0578339561678294,-6
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,3,-2.0578339561678294,-5
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,4,-2.0578339561678294,-4
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,5,-2.0578339561678294,-3
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,6,-2.0578339561678294,-2
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,7,-2.0578339561678294,-1
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,8,-2.0578339561678294,0
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,9,-1.7811717648918024,1
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,10,-1.6595723819429835,2
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,11,-1.680989725860118,3
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,12,-1.497393049561719,4
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,13,-1.497393049561719,5
natural_user10_trial_11_participant,natural,user10,11,female,4.338219224999615,14,-1.497393049561719,6
