Filename,(Real)Time_Start,(Real)Time_End,Duration,NumSyllables,Intensity,HNR,AlphaRatio,Mean_f0,Sd_f0,Max_F0,speakingrate,articulationrate,npause,asd,Mean_f0_Interval_1,Mean_f0_Interval_2,Mean_f0_Interval_3,Mean_f0_Interval_4,Mean_f0_Interval_5,Mean_f0_Interval_6,Mean_f0_Interval_7,Mean_f0_Interval_8,Mean_f0_Interval_9,Mean_f0_Interval_10,Mean_f0_Interval_11,Mean_f0_Interval_12,Mean_f0_Interval_13,Mean_f0_Interval_14,Mean_f0_Interval_15
natural_user10_practice_participant,0,4.68,4.68,,61.04677431767274,1.8425042390012305,8.248798975649015,--undefined--,--undefined--,--undefined--,0.21,0.56,1,1.796,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
natural_user10_trial_01_participant,0,3.36,3.36,,55.997912767857365,3.1713239151228003,-3.2836597867940447,340.20398866914803,5.1500353940588735,349.111387224052,1.19,1.38,1,0.724,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,336.4225537110249,336.4225537110249,340.2144004171891,340.2144004171891,340.2144004171891,340.2144004171891,340.2144004171891,340.2144004171891,340.2144004171891
natural_user10_trial_02_participant,0,2.58,2.58,,65.6112360174592,2.8651600564596267,2.053695468704837,81.68488607899789,0.6219880305033819,82.12469803318369,0.78,0.78,0,1.290,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,81.66729360083052,81.66729360083052,81.66729360083052,81.66729360083052,81.66729360083052,81.66729360083052,81.66729360083052,81.66729360083052,81.66729360083052,81.66729360083052
natural_user10_trial_03_participant,0,2.04,2.04,,58.419543822588516,6.888268507990643,11.162864933761634,166.6100535464378,36.00417790918218,271.3444285030784,2.94,2.94,0,0.340,--undefined--,268.7283236899564,268.7283236899564,268.7283236899564,209.67110047471672,177.48047612549092,177.05632318956728,160.574588232906,160.6319402236364,159.322686643046,159.322686643046,167.04939202607142,166.27058465118415,166.27058465118415,166.27058465118415
natural_user10_trial_04_participant,0,3.84,3.84,,62.76642560703884,1.6175130346066406,2.391183174086083,128.175977460005,48.00949614142118,174.74071677660734,0.52,0.70,0,1.420,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,127.98248192666114,127.98248192666114,127.98248192666114,127.98248192666114,127.98248192666114,127.98248192666114,127.98248192666114,127.98248192666114
natural_user10_trial_05_participant,0,3.06,3.06,,67.74510466651319,6.842893767997049,3.3297185279722963,123.8751326777582,42.78342718921862,205.37439162848935,2.61,4.27,0,0.234,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,165.92552115487075,169.1039307926625,119.96864291216926,133.54367395797433,135.80042174210433,124.993199331571,127.65182685732636,124.45422368310679,124.45422368310679,124.45422368310679
natural_user10_trial_06_participant,0,3.3,3.3,,65.76187628197778,1.04748429890971,-1.005602316433479,179.46309914038406,5.89707537613881,183.86389868022232,0.61,1.14,0,0.880,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,178.23297610538665,178.23297610538665,178.23297610538665,178.23297610538665,178.23297610538665,178.23297610538665,178.23297610538665,178.23297610538665,178.23297610538665,178.23297610538665
natural_user10_trial_07_participant,0,3.6,3.6,,76.24170205502179,5.78323212994447,8.138770159656929,133.3794580518328,42.057480197846296,203.48420184350013,3.06,3.68,0,0.272,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,80.44689882933217,149.61517284834937,154.12625597404562,152.30319586536027,138.29917395244652,128.92920695793296,127.99244666954971,132.79811072804455,134.0950482785291,134.0950482785291
natural_user10_trial_08_participant,0,2.16,2.16,,73.53074271920772,0.37502676670510476,3.1919202346346776,345.847638279281,4.059154454852489,349.8917402208936,0.46,0.69,0,1.456,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,345.8885676123941,345.8885676123941,345.8885676123941,345.8885676123941,345.8885676123941,345.8885676123941,345.8885676123941
natural_user10_trial_09_participant,0,3.12,3.12,,61.21636911372015,5.098579391283818,14.128964433785395,153.49765969345736,18.721321263346525,229.41265121110771,3.53,4.88,0,0.205,--undefined--,--undefined--,164.50391115347233,162.9427611195503,163.48852709112245,165.24583580597172,160.413309568952,158.51976388925925,157.08583040183356,155.2308065700122,152.90476105801392,152.9215347202395,153.38041169886824,153.38041169886824,153.38041169886824
natural_user10_trial_10_participant,0,3.6,3.6,,59.42988934124565,8.209283242958278,14.770013290823826,143.62114269265058,37.38574153000492,201.81353257245303,2.50,4.54,0,0.220,--undefined--,--undefined--,178.7177796850232,135.12544076273187,132.4407751356292,134.2243877715474,133.04801067567652,139.59900789195677,141.61466893996376,142.91519148749845,143.5242877419216,143.5242877419216,143.5242877419216,143.5242877419216,143.5242877419216
natural_user10_trial_11_participant,0,2.52,2.52,,59.67283755318455,7.2183172465980165,14.263350960825312,169.8868966889841,20.8309053199682,222.0495097008426,1.19,2.57,0,0.389,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,154.2033029609123,161.62647567330023,165.0011785090237,164.40171988146753,169.61199374603106,169.61199374603106,169.61199374603106,169.61199374603106
natural_user10_trial_12_participant,0,2.16,2.16,,64.65167292410607,13.756985162297582,19.181642141390142,155.0151822043172,30.677193168855926,265.29641413448775,1.39,2.18,0,0.459,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,157.727853018653,148.80013101714775,179.4569760471748,174.9775895942158,168.36117968666716,161.66264587048352,158.99624018023619,155.5396508042605,154.9624434851464,155.16893715315166
natural_user10_trial_13_participant,0,2.4,2.4,,64.95511000541141,14.264792389748578,23.091457285026387,148.63059855862966,13.08234938938301,195.28783887152872,3.33,3.95,0,0.253,--undefined--,--undefined--,158.83897035753006,147.66728338730653,145.2843025790897,145.21955428616496,143.62275891855072,143.3494296606062,143.10362429345926,144.29257339844338,146.3513851603754,145.9916946234644,148.5116663177161,148.74045812829254,148.74045812829254
natural_user10_trial_14_participant,0,2.64,2.64,,66.46609963610467,10.314566959196705,17.39061038797422,154.09056004513312,38.00733410325928,278.5976333222825,3.03,5.75,0,0.174,--undefined--,--undefined--,--undefined--,167.11098880500597,138.82717783634754,143.27599615350366,144.27412741990173,146.55862756772706,146.07085506345197,150.51080756685053,153.07710835651065,153.07710835651065,153.07710835651065,153.07710835651065,153.07710835651065
natural_user10_trial_15_participant,0,1.92,1.92,,66.6932603380327,6.657257244883578,16.529176753953365,131.60954799400704,40.26548297395612,195.7652854324114,2.60,3.83,0,0.261,--undefined--,--undefined--,178.1457283489577,140.38828885771846,142.51485567900448,145.22845936334966,126.94829295964384,124.82530569470742,124.36350406599347,130.32575229217437,130.73086220231187,130.73086220231187,130.73086220231187,130.73086220231187,130.73086220231187
natural_user10_trial_16_participant,0,2.58,2.58,,64.68928556994564,11.85363980968564,17.86726808467327,151.26382846593245,28.509952765889313,215.23172638193657,3.10,4.09,0,0.244,--undefined--,--undefined--,--undefined--,158.99657801807325,139.18795812059037,141.6515087174091,144.97783432291536,146.161436542852,146.161436542852,152.25953306608685,152.68121897437507,149.70211917626492,150.8462242431481,151.11329766347183,151.11329766347183
natural_user11_practice_participant,0,3.96,3.96,,74.36982409816866,13.403036491539583,5.470667558793874,220.07653735827077,32.05300623363358,284.33189848209815,1.77,3.91,0,0.256,121.51040586014577,121.51040586014577,121.51040586014577,121.51040586014577,121.51040586014577,121.51040586014577,250.14799581482532,256.6399851081534,243.38129525660983,235.8417270371622,231.0231208742835,226.32080187189575,220.18367310595474,220.18367310595474,220.18367310595474
natural_user11_trial_01_participant,0,4.5,4.5,,70.73017394122488,13.335897261275905,6.18422771683758,226.99205272713215,41.84511089970984,350.7984717211032,3.11,4.03,0,0.248,--undefined--,--undefined--,--undefined--,286.46085721831355,288.8007092995903,266.14114626257174,254.6753673161141,252.4520647008535,239.11859458107284,239.0337408154367,236.5305742525879,233.84220068771268,232.79581486360274,226.99264221808608,226.99264221808608
